service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,1,0,20251220,20260131
2,0,0,0,1,0,0,1,20251221,20260201
3,1,1,1,0,1,0,0,20251222,20260130
4,1,1,1,0,1,0,0,20251222,20260130
5,0,0,1,0,0,0,0,20260107,20260128
6,0,0,0,1,0,1,1,20251220,20260201
7,1,1,1,0,1,1,0,20251220,20260131
8,0,0,0,0,1,1,1,20260109,20260201
9,1,1,0,1,1,0,0,20260105,20260130
10,1,1,1,1,1,0,0,20260105,20260130
11,0,0,0,1,0,0,0,20260108,20260129
12,1,1,0,0,1,0,0,20260105,20260130
13,0,0,0,0,0,1,0,20260110,20260131
14,1,1,1,1,1,1,0,20260105,20260131
15,0,0,0,0,0,0,1,20260111,20260201
16,0,0,0,0,1,0,0,20260109,20260130
17,1,0,0,0,0,0,0,20260105,20260126
18,0,1,0,1,0,0,0,20260106,20260129
19,0,1,1,1,1,0,0,20260106,20260130
20,0,0,1,0,1,0,0,20260107,20260130
21,1,1,1,1,0,0,0,20260105,20260129
22,1,1,1,1,1,1,1,20251220,20260201
23,1,1,1,1,1,0,0,20260108,20260130
24,1,1,1,0,1,0,0,20251222,20260107
25,1,1,1,0,1,1,0,20251220,20260131
26,0,0,0,0,0,1,0,20251220,20260131
27,0,0,0,1,0,0,1,20251221,20260201
28,1,1,1,1,1,0,1,20251221,20260201
29,1,1,1,1,1,1,1,20251220,20260201
30,1,1,1,0,1,1,0,20251220,20260130
31,0,0,0,0,0,1,0,20251220,20260103
32,1,1,1,0,1,0,0,20251222,20260102
33,0,0,0,0,0,1,0,20251220,20251220
34,0,0,0,0,0,0,1,20251221,20251221
35,1,1,1,1,1,1,1,20251220,20260201
36,0,0,0,1,0,0,1,20251225,20260201
37,0,0,0,0,0,1,0,20251227,20260103
38,0,0,0,1,0,1,1,20251220,20260201
39,1,1,1,1,1,0,1,20251222,20260201
40,0,0,0,0,0,0,1,20251221,20260130
41,1,1,1,0,1,0,1,20251221,20260102
42,1,1,1,1,1,1,0,20251220,20260201
