route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
A,6192453782601729,A,A,Ligne A,3,,a81815,ffffff,1
B,6192453782601729,B,B,Ligne B,3,,0069b4,ffffff,2
C,6192453782601729,C,C,Ligne C,3,,008c3c,ffffff,3
3,6192453782601729,E1,E1,Ligne E1,3,,fdc300,000000,4
4,6192453782601729,E2,E2,Ligne E2,3,,65b32e,ffffff,5
21,6192453782601729,E3,E3,Ligne E3,3,,8c368c,ffffff,6
9,6192453782601729,E4,E4,Ligne E4,3,,ef7d00,ffffff,7
36,6192453782601729,E5,E5,Ligne E5,3,,e94190,ffffff,8
27,6192453782601729,E6,E6,Ligne E6,3,,00b1eb,ffffff,9
5,6192453782601729,E7,E7,Ligne E7,3,,7a2382,ffffff,10
13,6192453782601729,S10,S10,Ligne S10,3,,b47b34,ffffff,11
10,6192453782601729,S11,,Ligne S11,3,,00afcb,ffffff,12
8,6192453782601729,S12,S12,Ligne S12,3,,e973a9,ffffff,13
24,6192453782601729,S13,S13,Ligne S13,3,,5fb670,000000,14
12,6192453782601729,S14,S14,Ligne S14,3,,855693,ffffff,15
23,6192453782601729,S15,S15,Ligne S15,3,,ccc100,000000,16
38,6192453782601729,P30,P30,Ligne P30,3,,afd39a,000000,17
42,6192453782601729,P31,P31,Ligne P31,3,,b1a9d4,000000,18
26,6192453782601729,P32,P32,Ligne P32,3,,f4aacc,000000,19
31,6192453782601729,P33,P33,Ligne P33,3,,edd48c,000000,20
7,6192453782601729,P34,P34,Ligne P34,3,,e8bb8a,000000,21
34,6192453782601729,P35,P35,Ligne P35,3,,f29fc5,000000,22
40,6192453782601729,P36,P36,Ligne P36,3,,d0a5cd,000000,23
28,6192453782601729,P37,P37,Ligne P37,3,,b1a9d4,000000,24
37,6192453782601729,P38,P38,Ligne P38,3,,83d0f5,000000,25
41,6192453782601729,P39,P39,Ligne P39,3,,fdd069,000000,26
N-P,6192453782601729,P40,P40,Ligne P40,3,,d1dd7c,000000,27
L31,6192453782601729,P41,P41,Ligne P41,3,,e8bb8a,000000,28
L28,6192453782601729,P81,P81,Ligne P81,3,,f7b080,000000,29
L29,6192453782601729,P82,P82,Ligne P82,3,,e19ac3,000000,30
L30,6192453782601729,P83,P83,Ligne P83,3,,d1dd7c,000000,31
L32,6192453782601729,P84,P84,Ligne P84,3,,f6d378,000000,32
L33,6192453782601729,P75,P75,Ligne P75,3,,4a80f5,000000,33
L34,6192453782601729,BeN,BeN,Ligne 50,3,,4a80f5,000000,34
L36,6192453782601729,110,110,Ligne 110,3,,4a80f5,000000,36
L37,6192453782601729,120,120,Ligne 120,3,,4a80f5,000000,37
L38,6192453782601729,130,130,Ligne 130,3,,4a80f5,000000,38
L39,6192453782601729,140,140,Ligne 140,3,,4a80f5,000000,39
L40,6192453782601729,150,150,Ligne 150,3,,4a80f5,000000,40
L41,6192453782601729,160,160,Ligne 160,3,,4a80f5,000000,41
L42,6192453782601729,170,170,Ligne 170,3,,4a80f5,000000,42
L43,6192453782601729,180,180,Ligne 180,3,,4a80f5,000000,43
L44,6192453782601729,190,190,Ligne 190,3,,4a80f5,000000,44
L45,6192453782601729,200,200,Ligne 200,3,,4a80f5,000000,45
L46,6192453782601729,210,210,Ligne 210,3,,4a80f5,000000,46
L47,6192453782601729,220,220,Ligne 220,3,,4a80f5,000000,47
L48,6192453782601729,230,230,Ligne 230,3,,4a80f5,000000,48
L49,6192453782601729,310,310,Ligne 310,3,,4a80f5,000000,49
L50,6192453782601729,410,410,Ligne 410,3,,4a80f5,000000,50
L51,6192453782601729,420,420,Ligne 420,3,,4a80f5,000000,51
L52,6192453782601729,430,430,Ligne 430,3,,4a80f5,000000,52
L53,6192453782601729,LS258,LS258,Ligne LS258,3,,4a80f5,000000,53
L54,6192453782601729,LS339,LS339,Ligne LS339,3,,4a80f5,000000,54
L55,6192453782601729,LS041,LS041,Ligne LS041,3,,4a80f5,000000,55
L56,6192453782601729,LS084,LS084,Ligne LS084,3,,4a80f5,000000,56
