service_id,date,exception_type
2,20260108,2
2,20260115,2
2,20260122,2
2,20260129,2
3,20260108,1
3,20260115,1
3,20260122,1
3,20260129,1
4,20260107,2
4,20260108,1
4,20260114,2
4,20260115,1
4,20260121,2
4,20260122,1
4,20260128,2
4,20260129,1
6,20260108,2
6,20260115,2
6,20260122,2
6,20260129,2
7,20260108,1
7,20260115,1
7,20260122,1
7,20260129,1
25,20260109,2
25,20260112,2
25,20260113,2
25,20260114,2
25,20260116,2
25,20260119,2
25,20260120,2
25,20260121,2
25,20260123,2
25,20260126,2
25,20260127,2
25,20260128,2
25,20260130,2
26,20260108,1
26,20260109,1
26,20260112,1
26,20260113,1
26,20260114,1
26,20260115,1
26,20260116,1
26,20260119,1
26,20260120,1
26,20260121,1
26,20260122,1
26,20260123,1
26,20260126,1
26,20260127,1
26,20260128,1
26,20260129,1
26,20260130,1
27,20260109,1
27,20260112,1
27,20260113,1
27,20260114,1
27,20260116,1
27,20260119,1
27,20260120,1
27,20260121,1
27,20260123,1
27,20260126,1
27,20260127,1
27,20260128,1
27,20260130,1
29,20260108,2
29,20260109,2
29,20260112,2
29,20260113,2
29,20260114,2
29,20260115,2
29,20260116,2
29,20260119,2
29,20260120,2
29,20260121,2
29,20260122,2
29,20260123,2
29,20260126,2
29,20260127,2
29,20260128,2
29,20260129,2
29,20260130,2
30,20260108,1
30,20260110,2
30,20260115,1
30,20260117,2
30,20260122,1
30,20260124,2
30,20260129,1
35,20260110,2
35,20260117,2
35,20260124,2
35,20260131,2
36,20260108,2
36,20260115,2
36,20260122,2
36,20260129,2
38,20260108,2
38,20260110,2
38,20260115,2
38,20260117,2
38,20260122,2
38,20260124,2
38,20260129,2
38,20260131,2
39,20260105,2
39,20260106,2
39,20260107,2
39,20260108,2
39,20260109,2
39,20260112,2
39,20260113,2
39,20260114,2
39,20260115,2
39,20260116,2
39,20260119,2
39,20260120,2
39,20260121,2
39,20260122,2
39,20260123,2
39,20260126,2
39,20260127,2
39,20260128,2
39,20260129,2
39,20260130,2
40,20251228,2
40,20260104,2
40,20260105,1
40,20260106,1
40,20260107,1
40,20260108,1
40,20260109,1
40,20260111,2
40,20260112,1
40,20260113,1
40,20260114,1
40,20260115,1
40,20260116,1
40,20260118,2
40,20260119,1
40,20260120,1
40,20260121,1
40,20260122,1
40,20260123,1
40,20260125,2
40,20260126,1
40,20260127,1
40,20260128,1
40,20260129,1
40,20260130,1
41,20251228,2
42,20251228,1
42,20260104,1
42,20260110,2
42,20260111,1
42,20260117,2
42,20260118,1
42,20260124,2
42,20260125,1
42,20260131,2
42,20260201,1
