trip_id,service_id,route_id,trip_headsign,trip_short_name,direction_id,shape_id
1163_1000001_L29_2_181000,3,L29,Gare de Gerzat,,1,2533433704202045
1163_1000001_L29_2_185000,3,L29,Gare de Gerzat,,1,2533433704202045
1163_1000001_L29_2_173000,3,L29,Gare de Gerzat,,1,2533433704202045
1163_1000001_L29_2_165000,3,L29,Gare de Gerzat,,1,2533433704202045
1163_1000001_L29_2_125000,3,L29,Gare de Gerzat,,1,2533433704202045
1163_1000001_L29_2_084000,3,L29,Gare de Gerzat,,1,2533433704202045
1163_1000001_L29_2_080000,3,L29,Gare de Gerzat,,1,2533433704202045
1163_1000001_L29_2_071400,3,L29,Gare de Gerzat,,1,2533433704202045
1163_1000001_L29_2_063400,3,L29,Gare de Gerzat,,1,2533433704202045
1163_1000001_L29_1_175000,3,L29,CHAPPES J. Ferry,,0,2533433704202044
1163_1000001_L29_1_183000,3,L29,CHAPPES J. Ferry,,0,2533433704202044
1163_1000001_L29_1_170800,3,L29,CHAPPES J. Ferry,,0,2533433704202044
1163_1000001_L29_1_163000,3,L29,CHAPPES J. Ferry,,0,2533433704202044
1163_1000001_L29_1_123200,3,L29,CHAPPES J. Ferry,,0,2533433704202044
1163_1000001_L29_1_082000,3,L29,CHAPPES J. Ferry,,0,2533433704202044
1163_1000001_L29_1_073700,3,L29,CHAPPES J. Ferry,,0,2533433704202044
1163_1000001_L29_1_085800,3,L29,CHAPPES J. Ferry,,0,2533433704202044
1163_1000001_L29_1_065300,3,L29,CHAPPES J. Ferry,,0,2533433704202044
1163_1000001_L30_1_172200,3,L30,Les Chapelles,,0,2533433704202046
1163_1000001_L30_1_162000,3,L30,Les Chapelles,,0,2533433704202046
1163_1000001_L30_1_124700,3,L30,Les Chapelles,,0,2533433704202046
1163_1000001_L30_1_073000,3,L30,Les Chapelles,,0,2533433704202046
1163_1000001_L30_1_185200,3,L30,Les Chapelles,,0,2533433704202046
1163_1000001_L30_1_071000,3,L30,Les Chapelles,,0,2533433704202046
1163_1000001_L30_2_174000,3,L30,MALINTRAT La Joselle,,1,2533433704202047
1163_1000001_L30_2_163600,3,L30,MALINTRAT La Joselle,,1,2533433704202047
1163_1000001_L30_2_123600,3,L30,MALINTRAT La Joselle,,1,2533433704202047
1163_1000001_L30_2_072000,3,L30,MALINTRAT La Joselle,,1,2533433704202047
1163_1000001_L30_2_065500,3,L30,MALINTRAT La Joselle,,1,2533433704202047
1107_1000003_A_VE.PG_142600,36,A,La Pardieu Gare,,0,2533425114923570
1163_1000001_36PH.PS_131900,3,36,Faculté,,0,2533425114923640
1142_1000013_B_1_121700,24,B,ROYAT Pl. Allard,,0,2533425114923561
1136_1000012_A_VE.PG_074700,32,A,La Pardieu Gare,,0,2533425114923570
1132_1000001_05RP.GA_083000,3,5,Gaillard,,1,2533425114923590
1163_1000001_37_1_164100,3,37,PÉRIGNAT-ÈS-ALLIER La Garde,,0,2533425114923664
1163_1000001_27LF.RG_095200,3,27,ROMAGNAT Gergovia,,0,2533425114923638
1156_1000003_40_1_131000,6,40,ORCINES Gare du Panoramique des Dômes,,1,2533425114923642
1132_1000001_12RS.PI_180100,3,12,Les Pistes,,1,2533425114923609
1163_1000001_36PH.PS_203500,7,36,Faculté,,0,2533425114923640
1132_1000001_5_5_093600,3,5,ROYAT AvanC-Breuil,,0,2533425114923635
1163_1000001_36PS.PH_172500,3,36,PONT-DU-CHÂTEAU Chambon Haut,,1,2533425114923641
1017_1000001_C_DC.CA_105000,26,C,COURNON Allier,,1,2533425114923566
1023_1000007_A_VE.PG_122500,10,A,La Pardieu Gare,,0,2533425114923570
1142_1000013_C_CA.DC_131300,24,C,DURTOL Clinique,,0,2533425114923565
1165_1000002_31_2_121200,1,31,Champratel,,0,2533425114923661
1142_1000013_C_DC.CA_124000,24,C,COURNON Allier,,1,2533425114923566
1115_1000003_21_8_063700,2,21,CÉBAZAT CHU L. Michel,,1,2533425114923578
946_1000002_B_1_132200,1,B,ROYAT Pl. Allard,,0,2533425114923561
946_1000002_C_DC.CA_125100,1,C,COURNON Allier,,1,2533425114923566
925_1000002_08VA.BA_125300,1,8,"BEAUMONT Pl. d'Armes",,1,2533425114923596
1132_1000001_24BC.CH_081000,3,24,Champratel,,0,2533425114923623
1132_1000001_05RP.GA_151100,3,5,Gaillard,,1,2533425114923590
1163_1000001_38PB.PG_171000,3,38,LEMPDES Marmilhat,,0,2533425114923670
1136_1000012_A_VE.PG_153800,32,A,La Pardieu Gare,,0,2533425114923570
1132_1000001_03AR.GC_183400,3,3,GERZAT Champfleuri,,1,2533425114923571
925_1000002_24_3_130700,1,24,BLANZAT Clos St Vincent,,1,2533425114923622
925_1000002_12PI.RS_145600,1,12,ROMAGNAT Les Sports,,0,2533425114923608
925_1000002_03VI.AR_183800,1,3,AUBIÈRE Pl. des Ramacles,,0,2533425114923574
1023_1000007_A_PG.VE_071700,10,A,Les Vergnes,,1,2533425114923567
946_1000002_C_CA.DC_161700,1,C,DURTOL Clinique,,0,2533425114923565
1132_1000001_5_5_201200,3,5,ROYAT AvanC-Breuil,,0,2533425114923635
903_1000003_L45_6_201500,15,L45,"Lycée Valéry Giscard d'Estaing",,0,2533425114923804
925_1000002_03AR.GC_055700,1,3,GERZAT Champfleuri,,1,2533425114923571
1123_1000003_C_CA.DC_163600,2,C,DURTOL Clinique,,0,2533425114923565
1123_1000003_B_JV.RA_112000,2,B,ROYAT Pl. Allard,,0,2533425114923563
925_1000002_10_3_152600,1,10,Jules Verne,,1,2533425114923600
1132_1000001_9_5_212300,3,9,Trémonteix Paul Eychart,,0,2533425114923636
925_1000002_10_6_064500,1,10,Tamaris,,0,2533425114923603
1115_1000003_03AR.VI_205100,2,3,Les Vignes,,1,2533425114923572
1132_1000001_03AR.GC_115600,3,3,GERZAT Champfleuri,,1,2533425114923571
1115_1000003_4_6_225700,2,4,CEYRAT Libération,,0,2533425114923584
988_1000008_A_PG.VE_111900,31,A,Les Vergnes,,1,2533425114923567
988_1000008_A_PG.VE_112900,31,A,Les Vergnes,,1,2533425114923567
1142_1000013_C_CA.DC_164800,24,C,DURTOL Clinique,,0,2533425114923565
1142_1000013_C_CA.DC_165600,24,C,DURTOL Clinique,,0,2533425114923565
1123_1000003_B_1_143400,2,B,ROYAT Pl. Allard,,0,2533425114923561
1165_1000002_42AR.BA_160800,1,42,BEAUMONT Collège Molière,,0,2533425114923690
1017_1000001_C_CA.DC_130900,23,C,DURTOL Clinique,,0,2533425114923565
1142_1000013_B_RA.JV_135500,24,B,Jules Verne,,1,2533425114923564
925_1000002_9_5_054100,1,9,Trémonteix Paul Eychart,,0,2533425114923636
1017_1000001_C_DC.CA_133000,23,C,COURNON Allier,,1,2533425114923566
925_1000002_4_13_134900,1,4,Trémonteix Charcot,,1,2533425114923583
1023_1000007_A_PG.VE_160200,10,A,Les Vergnes,,1,2533425114923567
1017_1000001_C_DC.CA_121800,23,C,COURNON Allier,,1,2533425114923566
1023_1000007_A_PG.VE_165700,10,A,Les Vergnes,,1,2533425114923567
946_1000002_B_JV.RA_154900,1,B,ROYAT Pl. Allard,,0,2533425114923563
